Model,Val Accuracy,Val F1,Test Accuracy,Test F1
LabelPropagation,70.92%,70.76%,78.01%,78.06%
LabelSpreading,70.92%,70.76%,79.43%,79.38%
SelfTraining,77.30%,76.64%,79.43%,78.60%
RF + LabelPropagation,70.92%,70.37%,78.72%,78.76%
RF + LabelSpreading,72.34%,71.41%,77.30%,77.30%
RF + SelfTraining,77.30%,76.62%,79.43%,78.97%
