kernel,gamma,max_iter,val_f1_score,n_neighbors
knn,,2000,0.5987251284658014,5.0
knn,,2000,0.5782671374677953,7.0
knn,,2000,0.5681650576562081,10.0
knn,,2000,0.5564662247474748,3.0
rbf,5.0,2000,0.47330189528471467,
rbf,10.0,2000,0.4340892462467805,
rbf,20.0,2000,0.4340892462467805,
rbf,50.0,2000,0.42906059265119667,
rbf,30.0,2000,0.42349241273421606,
