kernel,gamma,max_iter,val_f1_score,n_neighbors
knn,,2000,0.5679032359078231,10.0
knn,,2000,0.5588324008376833,7.0
knn,,2000,0.5004930695180754,5.0
knn,,2000,0.4823804550656349,3.0
rbf,5.0,2000,0.4465800976122077,
rbf,10.0,2000,0.43116702695082126,
rbf,30.0,2000,0.42935783064287736,
rbf,50.0,2000,0.42935783064287736,
rbf,20.0,2000,0.42438515871815063,
