kernel,gamma,max_iter,val_f1_score,n_neighbors
rbf,30.0,2000,0.5893027434525542,
rbf,50.0,2000,0.5893027434525542,
knn,,2000,0.5872042323303079,3.0
rbf,5.0,2000,0.5829341960311689,
rbf,10.0,2000,0.5810264056095218,
rbf,20.0,2000,0.5788329740621851,
knn,,2000,0.5406302221370713,7.0
knn,,2000,0.5387818068024017,10.0
knn,,2000,0.5197832632043159,5.0
