Model,Val Accuracy,Val F1,Test Accuracy,Test F1
LabelPropagation,64.77%,62.83%,63.07%,62.85%
LabelSpreading,65.34%,62.79%,62.50%,62.37%
SelfTraining,64.77%,61.89%,69.32%,68.28%
RF + LabelPropagation,62.50%,59.72%,64.20%,63.63%
RF + LabelSpreading,60.23%,57.09%,64.20%,63.64%
RF + SelfTraining,64.20%,61.38%,68.75%,67.85%
