Method,kernel,n_neighbors,max_iter,alpha,base_estimator,threshold,verbose
LabelPropagation,knn,7.0,2000,,,,
LabelSpreading,knn,5.0,2000,0.1,,,
SelfTraining,,,10,,RandomForestClassifier,0.6,False
