Method,kernel,gamma,max_iter,alpha,base_estimator,threshold,verbose
LabelPropagation,rbf,50.0,2000,,,,
LabelSpreading,rbf,50.0,2000,0.1,,,
SelfTraining,,,10,,LogisticRegression,0.9,False
