yield_strength_MPa
417.0
509.0
427.0
430.0
594.0
555.0
502.0
620.0
546.0
533.0
514.0
403.0
522.0
621.0
488.0
470.0
522.0
530.0
514.0
419.0
484.0
479.0
662.0
661.0
540.0
559.0
515.0
411.0
448.0
543.0
371.0
439.0
547.0
553.3
486.0
540.5
603.0
494.0
521.0
423.0
521.0
504.0
556.0
445.0
454.0
597.0
747.0
456.0
920.0
509.0
431.0
401.0
493.0
581.0
430.7
442.0
359.0
720.0
417.0
513.0
512.0
414.0
515.0
402.0
776.0
605.0
391.0
499.0
486.8
449.0
474.0
527.0
504.0
697.0
392.0
470.0
567.0
373.0
600.0
556.0
531.0
500.0
436.0
565.0
438.0
663.0
479.0
453.8
414.0
530.0
678.0
496.0
381.0
405.0
592.0
650.0
426.0
808.0
632.0
491.0
500.3
808.0
434.0
498.0
461.0
525.0
650.0
500.0
523.0
491.0
660.0
371.0
553.0
404.0
486.8
524.0
534.0
471.0
522.0
444.0
504.0
491.0
370.0
530.0
492.0
400.0
546.0
519.9
468.0
492.0
551.0
450.0
442.0
495.0
408.0
692.0
337.0
537.0
614.0
576.0
503.0
414.0
549.0
562.0
478.0
392.0
542.0
437.0
479.0
576.0
397.0
434.0
466.0
522.0
390.1
396.0
619.0
535.0
505.0
498.0
540.0
520.0
441.0
455.0
463.0
436.0
522.0
536.0
458.0
641.0
415.0
388.0
409.0
561.0
389.0
437.0
452.0
482.0
443.0
492.0
593.0
637.0
400.0
483.0
740.0
474.0
566.0
662.0
493.0
427.0
644.0
598.0
494.0
369.8
822.0
329.0
460.0
488.0
471.0
351.0
490.0
507.0
414.0
478.0
516.0
496.0
488.0
603.0
469.0
468.0
505.0
468.0
449.0
501.0
521.0
571.0
574.0
428.0
604.0
474.0
431.0
515.0
404.0
480.0
353.0
536.0
460.0
431.0
734.0
431.0
379.0
474.0
584.0
591.0
555.0
515.0
426.0
583.0
456.2
463.0
456.0
630.8
423.0
481.0
402.0
426.0
547.0
332.0
526.0
536.6
568.0
700.0
461.0
530.0
595.0
538.0
433.0
655.0
795.0
629.0
547.0
494.0
433.0
475.0
329.0
472.0
547.0
765.0
520.0
557.0
413.0
617.0
493.0
552.0
483.0
352.0
535.0
784.0
577.0
561.0
315.0
626.0
463.0
466.0
587.0
398.0
539.0
540.0
663.0
392.0
464.0
513.0
531.0
330.0
531.0
578.0
417.0
463.0
350.0
715.0
491.5
830.0
481.0
437.0
613.0
584.0
690.0
524.0
554.0
430.0
435.0
414.0
456.2
453.0
592.0
431.0
832.0
410.0
500.0
638.0
513.0
546.0
349.0
591.0
524.0
542.0
560.0
516.0
485.0
604.0
614.0
648.0
522.0
491.0
444.0
538.0
606.0
540.0
562.1
355.0
612.0
435.0
542.0
669.0
457.0
440.0
478.0
