Model,Val Accuracy,Val F1,Test Accuracy,Test F1
LabelPropagation,61.36%,59.87%,59.66%,59.98%
LabelSpreading,61.93%,59.58%,61.36%,61.42%
SelfTraining,61.93%,59.73%,68.18%,67.28%
RF + LabelPropagation,63.64%,61.50%,60.23%,60.46%
RF + LabelSpreading,60.80%,58.55%,58.52%,58.57%
RF + SelfTraining,63.64%,61.13%,67.61%,66.63%
