Model,Val Accuracy,Val F1,Test Accuracy,Test F1
LabelPropagation,68.24%,68.27%,72.97%,73.63%
LabelSpreading,68.92%,68.83%,72.97%,73.38%
SelfTraining,71.62%,71.70%,73.65%,74.32%
RF + LabelPropagation,65.54%,65.38%,75.68%,76.06%
RF + LabelSpreading,67.57%,67.40%,72.97%,73.44%
RF + SelfTraining,68.24%,68.68%,71.62%,72.62%
