uts_MPa
596.0
627.0
526.0
549.0
537.0
647.0
548.0
732.0
623.0
714.0
652.0
713.0
549.0
599.0
522.0
610.0
541.0
681.0
519.0
783.0
568.0
710.0
869.0
465.0
524.0
497.0
709.0
524.0
677.0
552.0
678.0
525.0
665.0
644.0
702.0
465.0
519.9
541.0
609.0
493.0
621.0
745.0
480.0
588.0
622.0
597.0
620.0
557.0
613.0
561.0
685.0
465.0
556.0
654.0
587.0
578.0
588.0
490.0
545.0
587.0
666.0
770.0
523.0
1151.0
689.0
522.0
680.0
751.0
576.0
661.0
591.5
909.0
557.0
526.0
612.0
785.0
497.0
483.0
638.0
617.0
616.0
858.0
675.0
581.0
517.0
720.0
550.0
652.0
612.0
541.5
564.0
551.0
577.5
704.0
483.0
725.9
597.0
497.0
571.0
563.0
557.0
744.0
490.0
506.0
477.0
586.6
587.0
548.0
461.0
603.0
586.0
561.0
592.0
730.0
777.0
501.0
638.0
772.0
544.0
533.0
592.0
555.0
576.0
672.0
866.0
482.7
498.0
508.0
560.0
539.0
532.0
621.0
650.0
690.0
539.0
522.0
529.0
522.0
494.0
538.0
500.0
593.0
671.0
580.0
490.0
538.0
538.0
569.0
507.0
578.0
552.0
575.0
542.0
513.0
696.0
521.0
811.0
569.0
570.0
492.0
701.0
488.0
651.0
619.0
658.0
688.0
533.0
615.0
498.0
604.0
518.0
547.0
461.0
533.0
531.0
551.0
493.0
509.0
865.0
690.0
635.0
682.0
600.0
895.0
692.0
553.0
555.0
610.0
738.0
583.7
783.0
680.0
504.0
584.0
496.0
589.0
481.0
619.0
731.0
514.0
716.0
727.0
578.0
618.0
559.0
566.0
518.0
589.0
456.0
536.0
615.0
546.0
539.0
477.0
599.0
588.0
533.0
698.0
666.0
500.0
499.0
557.0
772.0
600.0
554.0
536.0
741.0
577.0
497.0
527.0
498.0
699.0
778.0
501.0
569.0
537.0
542.0
575.0
626.9
648.0
676.0
529.0
635.0
500.0
693.0
576.0
616.0
607.0
491.0
605.0
504.2
559.0
658.0
577.0
551.0
607.0
569.0
674.0
491.0
598.0
543.0
737.0
475.0
727.0
694.5
594.0
607.0
707.0
581.0
518.0
571.0
685.0
626.0
516.0
753.0
569.3
593.5
737.0
576.0
503.0
708.0
502.0
645.5
647.0
640.6
858.0
705.0
522.0
674.0
747.0
614.0
642.0
600.4
545.0
559.0
556.0
568.0
592.0
518.0
586.6
470.0
685.0
591.0
747.0
718.0
536.3
577.0
639.0
635.0
515.0
552.3
518.0
494.0
540.0
487.6
694.0
566.0
525.0
462.0
496.0
457.0
507.0
655.0
708.0
736.0
484.0
753.0
638.0
547.0
618.0
664.0
549.0
496.0
529.0
617.0
661.0
535.0
584.0
613.0
578.0
583.0
564.0
584.0
573.0
567.0
600.0
660.0
528.0
525.0
545.0
599.0
533.0
568.0
714.0
627.0
550.0
569.0
789.0
670.0
554.0
447.0
647.0
651.0
807.0
649.0
598.0
673.0
496.0
703.0
600.0
625.0
570.0
540.0
698.0
616.0
563.0
480.0
544.0
558.0
536.0
564.0
540.0
576.0
534.0
621.0
557.0
484.0
555.2
678.0
597.0
543.0
570.0
705.0
499.0
522.0
549.0
604.0
498.0
709.0
761.0
456.0
546.0
533.0
447.0
707.0
501.0
731.0
635.0
735.0
605.0
570.0
602.0
456.0
669.0
532.7
762.0
528.0
594.0
686.0
582.0
581.0
692.0
690.0
466.0
649.0
528.0
564.1
672.0
560.0
745.0
582.0
593.0
605.0
459.0
581.0
737.0
596.0
641.0
743.0
616.0
734.0
670.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
