charpy_temp_C
26.0
-91.0
20.0
-40.0
20.0
-60.0
-63.0
-63.0
-64.0
-40.0
-18.0
-22.0
-65.0
10.0
14.0
-30.0
-72.0
-80.0
-44.0
-40.0
-59.0
-70.0
-45.0
-46.0
-20.0
24.0
-50.0
0.0
40.0
32.0
-60.0
20.0
-42.0
-20.0
-88.0
-4.0
-36.0
-54.0
8.0
-47.0
0.0
-40.0
24.0
0.0
-8.0
-88.0
20.0
-90.0
-44.0
-14.0
-50.0
1.0
-54.0
11.0
-15.0
0.0
-60.0
-35.0
70.0
40.0
-20.0
-10.0
-45.0
-20.0
2.0
26.0
-25.0
-58.0
-55.0
-20.0
-72.0
-68.0
-50.0
0.0
-36.0
20.0
-60.0
-60.0
-61.0
-70.0
-60.0
-66.0
-20.0
-53.0
-51.0
-84.0
-78.0
-38.0
-57.0
0.0
-20.0
-6.0
-48.0
-44.0
-63.0
-63.0
-20.0
33.0
0.0
20.0
-50.0
-70.0
0.0
0.0
-60.0
-20.0
-43.0
20.0
-40.0
60.0
-20.0
-57.0
37.0
-55.0
188.0
0.0
-56.0
0.0
-40.0
-31.0
-60.0
40.0
-15.0
-31.0
-30.0
-20.0
-60.0
-28.0
-14.0
-70.0
-60.0
-27.0
-60.0
-55.0
38.0
-50.0
-30.0
-62.0
-20.0
-40.0
-50.0
-60.0
-100.0
-28.0
-28.0
-20.0
-50.0
-40.0
-85.0
-77.0
-61.0
-63.0
-50.0
-51.0
-60.0
-68.0
-77.0
20.0
-90.0
-26.0
-20.0
-71.0
0.0
-7.0
20.0
-43.0
20.0
-41.0
-48.0
-70.0
-20.0
-44.0
20.0
-55.0
-40.0
18.0
-81.0
-48.0
-28.0
20.0
-40.0
-20.0
-20.0
-60.0
30.0
0.0
-60.0
-60.0
-68.0
-45.0
-48.0
-20.0
-55.0
-25.0
-45.0
-40.0
-55.0
-78.0
-20.0
-40.0
-30.0
-20.0
-60.0
-50.0
-53.0
-61.0
-20.0
-60.0
-31.0
-48.0
-35.0
-60.0
-33.0
-20.0
40.0
20.0
-40.0
-56.0
-5.0
-30.0
-62.0
0.0
-40.0
-52.0
-27.0
-42.0
-50.0
60.0
-102.0
-71.0
-54.0
-60.0
-40.0
-54.0
40.0
-65.0
-76.0
0.0
24.0
-58.0
-80.0
-61.0
-50.0
-20.0
-5.0
-30.0
-60.0
-30.0
-94.0
-40.0
-47.0
-60.0
-50.0
-68.0
-86.0
0.0
-48.0
-40.0
30.0
-60.0
-20.0
-95.0
-57.0
-40.0
-28.0
-70.0
16.0
-79.0
-40.0
-6.0
-12.0
-50.0
-70.0
-50.0
70.0
-61.0
-68.0
40.0
-20.0
-40.0
-30.0
9.0
-58.0
-24.0
-74.0
-88.0
-55.0
-99.0
-54.0
-20.0
-20.0
-17.0
6.0
24.0
-50.0
-60.0
20.0
0.0
20.0
-60.0
-45.0
-38.0
-60.0
-56.0
20.0
-20.0
0.0
-63.0
-70.0
0.0
70.0
-42.0
-40.0
-48.0
-38.0
-78.0
-40.0
-44.0
-45.0
-76.0
20.0
-40.0
-60.0
-20.0
-38.0
-10.0
-58.0
-20.0
-48.0
-22.0
-40.0
-86.0
0.0
-40.0
-70.0
38.0
-53.0
-80.0
-40.0
-60.0
-37.0
0.0
40.0
-14.0
-60.0
7.0
-40.0
22.0
-20.0
-54.0
-27.0
-70.0
-51.0
-64.0
1.0
-30.0
-86.0
-20.0
-20.0
-41.0
-38.0
-20.0
-76.0
-20.0
-15.0
-60.0
-50.0
-9.0
-4.0
-20.0
-10.0
-40.0
-43.0
20.0
12.0
-58.0
-40.0
-50.0
12.0
-70.0
-84.0
-40.0
-39.0
-88.0
59.0
-60.0
-44.0
-20.0
-40.0
-70.0
-60.0
-60.0
-71.0
-50.0
-28.0
10.0
-63.0
-20.0
-67.0
-2.0
-40.0
-56.0
-20.0
-46.0
